OBJECTID,OBJECTID_1,COUNT,AREA,MEAN
1,1,102.000000000000000,128917340.222561597824097,0.381774820533453
2,2,98.000000000000000,123861758.253049373626709,0.517820445706650
3,3,87.000000000000000,109958907.836890771985054,0.577617238307821
4,4,117.000000000000000,147875772.608232408761978,0.545738501044420
5,5,120.000000000000000,151667459.085366576910019,0.392138787106766
6,6,101.000000000000000,127653444.730183541774750,0.535657995850733
7,7,80.000000000000000,101111639.390244394540787,0.666435584798455
8,8,99.000000000000000,125125653.745427429676056,0.486475742224491
9,9,124.000000000000000,156723041.054878801107407,0.472420857798669
10,10,122.000000000000000,154195250.070122689008713,0.314126141644159
11,11,119.000000000000000,150403563.592988520860672,0.431923402864642
12,12,138.000000000000000,174417577.948171585798264,0.511235545726790
13,13,128.000000000000000,161778623.024391025304794,0.539454569807276
14,14,120.000000000000000,151667459.085366576910019,0.536054896314939
15,15,118.000000000000000,149139668.100610464811325,0.669281756473800
16,16,81.000000000000000,102375534.882622450590134,0.753390405281090
17,17,84.000000000000000,106167221.359756603837013,0.756384815843332
18,18,94.000000000000000,118806176.283537164330482,0.741494955851677
19,19,108.000000000000000,136500713.176829934120178,0.713721439242363
20,20,100.000000000000000,126389549.237805485725403,0.750869167745113
21,21,119.000000000000000,150403563.592988520860672,0.745947640232679
22,22,142.000000000000000,179473159.917683780193329,0.665285331682420
23,23,114.000000000000000,144084086.131098270416260,0.637909436957878
24,24,167.000000000000000,211070547.227135151624680,0.707603000595184
25,25,185.000000000000000,233820666.089940160512924,0.699705616525702
26,26,156.000000000000000,197167696.810976564884186,0.460901958915668
27,27,143.000000000000000,180737055.410061836242676,0.413378656118900
28,28,164.000000000000000,207278860.750001013278961,0.408875940231288
29,29,163.000000000000000,206014965.257622957229614,0.289341591001471
30,30,150.000000000000000,189584323.856708228588104,0.316215208632251
31,31,132.000000000000000,166834204.993903249502182,0.345373145029457
32,32,135.000000000000000,170625891.471037417650223,0.338800899066134
33,33,138.000000000000000,174417577.948171585798264,0.339051093866515
34,34,139.000000000000000,175681473.440549641847610,0.335617895123361
35,35,134.000000000000000,169361995.978659361600876,0.322492409995305
36,36,141.000000000000000,178209264.425305724143982,0.322218031856951
37,37,131.000000000000000,165570309.501525193452835,0.308809100620886
38,38,135.000000000000000,170625891.471037417650223,0.299099040367866
39,39,137.000000000000000,173153682.455793529748917,0.315139489749043
40,40,188.000000000000000,237612352.567074328660965,0.302014632210596
41,41,186.000000000000000,235084561.582318216562271,0.375155247016860
42,42,146.000000000000000,184528741.887196004390717,0.297719251737636
43,43,149.000000000000000,188320428.364330172538757,0.115776549840041
44,44,100.000000000000000,126389549.237805485725403,0.145254211041934
45,45,138.000000000000000,174417577.948171585798264,0.133422069113001
46,46,119.000000000000000,150403563.592988520860672,0.139545717468158
47,47,98.000000000000000,123861758.253049373626709,0.537993211679313
48,48,110.000000000000000,139028504.161586046218872,0.550842038067904
49,49,124.000000000000000,156723041.054878801107407,0.561524391294487
50,50,134.000000000000000,169361995.978659361600876,0.639357969053646
51,51,119.000000000000000,150403563.592988520860672,0.749557604308890
52,52,131.000000000000000,165570309.501525193452835,0.750207732196983
53,53,131.000000000000000,165570309.501525193452835,0.646364369920192
54,54,112.000000000000000,141556295.146342158317566,0.648033208878977
