OID_,id,COUNT,AREA,MEAN
1,9,122.000000000000000,154195250.070122689008713,0.314126141644159
2,10,119.000000000000000,150403563.592988520860672,0.431923402864642
3,11,138.000000000000000,174417577.948171585798264,0.511235545726790
4,12,128.000000000000000,161778623.024391025304794,0.539454569807276
5,13,120.000000000000000,151667459.085366576910019,0.536054896314939
6,14,118.000000000000000,149139668.100610464811325,0.669281756473800
7,15,81.000000000000000,102375534.882622450590134,0.753390405281090
8,16,84.000000000000000,106167221.359756603837013,0.756384815843332
9,17,94.000000000000000,118806176.283537164330482,0.741494955851677
10,18,108.000000000000000,136500713.176829934120178,0.713721439242363
11,19,100.000000000000000,126389549.237805485725403,0.750869167745113
12,20,119.000000000000000,150403563.592988520860672,0.745947640232679
13,21,142.000000000000000,179473159.917683780193329,0.665285331682420
14,22,114.000000000000000,144084086.131098270416260,0.637909436957878
15,23,167.000000000000000,211070547.227135151624680,0.707603000595184
16,24,185.000000000000000,233820666.089940160512924,0.699705616525702
17,25,156.000000000000000,197167696.810976564884186,0.460901958915668
18,26,143.000000000000000,180737055.410061836242676,0.413378656118900
19,27,164.000000000000000,207278860.750001013278961,0.408875940231288
20,28,163.000000000000000,206014965.257622957229614,0.289341591001471
21,29,150.000000000000000,189584323.856708228588104,0.316215208632251
22,30,132.000000000000000,166834204.993903249502182,0.345373145029457
23,31,135.000000000000000,170625891.471037417650223,0.338800899066134
24,32,138.000000000000000,174417577.948171585798264,0.339051093866515
25,33,139.000000000000000,175681473.440549641847610,0.335617895123361
26,34,134.000000000000000,169361995.978659361600876,0.322492409995305
27,35,141.000000000000000,178209264.425305724143982,0.322218031856951
28,36,131.000000000000000,165570309.501525193452835,0.308809100620886
29,37,135.000000000000000,170625891.471037417650223,0.299099040367866
30,38,137.000000000000000,173153682.455793529748917,0.315139489749043
31,39,188.000000000000000,237612352.567074328660965,0.302014632210596
32,40,186.000000000000000,235084561.582318216562271,0.375155247016860
33,41,146.000000000000000,184528741.887196004390717,0.297719251737636
34,42,149.000000000000000,188320428.364330172538757,0.115776549840041
35,43,100.000000000000000,126389549.237805485725403,0.145254211041934
36,44,138.000000000000000,174417577.948171585798264,0.133422069113001
37,45,119.000000000000000,150403563.592988520860672,0.139545717468158
38,46,98.000000000000000,123861758.253049373626709,0.537993211679313
39,47,110.000000000000000,139028504.161586046218872,0.550842038067904
40,48,124.000000000000000,156723041.054878801107407,0.561524391294487
41,49,134.000000000000000,169361995.978659361600876,0.639357969053646
42,50,119.000000000000000,150403563.592988520860672,0.749557604308890
43,51,131.000000000000000,165570309.501525193452835,0.750207732196983
44,52,131.000000000000000,165570309.501525193452835,0.646364369920192
45,53,112.000000000000000,141556295.146342158317566,0.648033208878977
46,54,132.000000000000000,166834204.993903249502182,0.666087461917689
47,55,128.000000000000000,161778623.024391025304794,0.600386493606493
48,56,132.000000000000000,166834204.993903249502182,0.681746194760005
49,57,128.000000000000000,161778623.024391025304794,0.706279630539939
